尽管浪，谁接盘谁是狗，不得house 尽管浪，谁接盘谁是狗，不得好下场
这……确实挺可爱啊，从面相来说就比那些奇形怪状的女拳生物和善多了，而且人家也没什么错吧，恶意攻击不可取，别真和微博一样了 这……确实挺可爱啊，从面相来说就比那些不符合我个人审美的极端女权主义者和善多了，而且人家也没什么错吧，恶意攻击不可取，别真和微博一样了
不听老妈实话整容，信路人化妆，幕刃智商可以的 不听老妈实话整容，信路人化妆，这位让我不喜欢的女性智商可以的
最后两张肥猪 最后两张是肥胖的人
我们南方是除了自己和精神故乡谁都黑，要不你把祖籍报过来小偷还是龙鸣我保证能给你安上一个（不会是弯弯吧，那除外） 我们南方某些人是除了自己和精神故乡谁都黑，要不你把祖籍报过来河南人还是川渝人我保证能给你安上一个（不会是台湾人吧，那除外）
没心气管了，上次歪果人永居我尽力了 没心气管了，上次外国人永居我尽力了
小黑砸很死皮赖脸的，很难搞。老是相同几句不停地回复我。有一个老是拿恶心话回复。我猜想他们认为这样就能赶走我 这个让我反感的黑人很不顾羞耻的，很难搞。老是相同几句不停地回复我。有一个老是拿让人不适的话回复。我猜想他们认为这样就能赶走我
其乐无穷，老子高兴，干你鸟事。 其乐无穷，老子高兴，与你无关。
有趣的事，这些女的都是坚定的女拳?? 有趣的事，这些女性都是坚定的极端女权主义者??
拿着一张p的图在这里意淫，通讯录是不是都有臆想症。 拿着一张p的图在这里不切实际地幻想，有些同性恋是不是有臆想症。
我觉得也不是黑哥的问题，女人结婚时候不是处女我就接受不了，跟他以前有什么族的男朋友没关系。因为我是处男 我觉得也不是黑人的问题，女人结婚时候不是处女我个人就接受不了，跟他以前有什么族的男朋友没关系。因为我是处男
行行行，中国男人媚外世界第一，国女世界第一优秀。反正被权威组织点名媚外的，国女那可是头一份啊。你们继续打拳，我们继续“媚外”谁也别耽误谁。?? 行行行，中国男人媚外世界第一，国女世界第一优秀。反正被权威组织点名讨好外国人的，国女那可是头一份啊。你们继续发表极端性别平等言论，我们继续“媚外”谁也别耽误谁。??
_xDC36__xD83D_zz有空发这个不如去舔你默??的嘿d _xDC36__xD83D_zz有空发这个不如去讨好你所崇拜的黑人
跟本不可能的事你在这杞人忧天啥，别看几个新闻就以为国女都媚黑了， 跟本不可能的事你在这杞人忧天啥，别看几个新闻就以为国内女性都是讨好崇拜黑种人的了，
不会真有人想和小仙女结婚吧不会吧不会吧 我难以想象真有人想和某些自我感觉过于良好的女性结婚
后面改成默也算人?? 后面改成黑人也算人??
能不能回复啊，笑死了，没见过这么嘴硬小胆的fw，是不是待会还要自己精神胜利一把说我不屑于和你说话啊 能不能回复啊，笑死了，没见过这么嘴硬小胆的人，是不是待会还要自己精神胜利一把说我不屑于和你说话啊
在一些聊天交友软件，或者游戏里装成女的，骗舔狗的钱，这事我以前都干过发现舔狗简直精虫里没一点脑子 在一些聊天交友软件，或者游戏里装成女的，骗单方面付出的人的钱，这事我以前都干过发现单方面付出的人简直精虫里没一点脑子
她们被外国杂种羞辱了，国男愤怒受不了罢了。国女被好好对待，没人会反对 她们被外国人羞辱了，国男愤怒受不了罢了。国女被好好对待，没人会反对
母人进来啦 有位让我不喜欢的女性进来啦
真的是快要超出我的承受力了，这女的这么恶心人的？ 真的是快要超出我的承受力了，这位女性这么让人产生不适的？
超过西周？？？我说是放P。西周早就发明文字了，黑人什么时候有过文字？到现在还有原始社会。 超过西周？？？我说是乱讲。西周早就发明文字了，黑人什么时候有过文字？我认为到现在还有原始社会。
原来是个臭gay 原来是个让我个人感到反感的男同性恋
ezg喜欢，我们也没办法。老实人还是祈求以后不会娶到和动物玩过的ezg吧，毕竟房车彩礼不是那么好赚的 一些轻浮的女性喜欢，我们也没办法。老实人还是祈求以后不会娶到和黑人接触过的轻浮女性吧，毕竟房车彩礼不是那么好赚的
作为一个gay，我不觉得这种态度有什么问题啊……这篇回答简单说就是：你爱逼逼你逼逼，关我屁事。 作为一个gay，我不觉得这种态度有什么问题啊……这篇回答简单说就是：你爱说什么你就说，和我无关。
政策，tm的看个足球赛是互撕大战，山东葱，东北啥啥，什么都有。 政策，看个足球赛是产生争议的大战，山东人，东北人，什么都有。
我也歧视默啊，咋滴 我也对黑人有所偏见啊，咋滴
可是为什么图上都是男的？难道是因为母人智商低下说话毫无公信力吗 可是为什么图上都是男的？难道是因为让我反感的女性不够明智说话毫无公信力吗
连个正式关系都没有就嫌红包小，这和网络乞丐有什么区别？ 连个正式关系都没有就嫌红包小，这和在网络上乞讨的人有什么区别？
可别了，正常女的也会恶心女??的，起码我身边受过高等教育的女性都觉得女??傻逼 可别了，正常女的也会对极端女权主义者感到不适的，起码我身边受过高等教育的女性都觉得极端女权主义者不明智
是男挙定义宠女人的男人为狗，什么叫喜欢当狗。 是某些男权主义者定义宠女人的男人为狗，什么叫喜欢当狗。
下策囧你打草惊蛇，以后她就会隐藏喜欢黑人的想法，变成一颗诡雷[蹲] 下策囧你打草惊蛇，以后她就会隐藏喜欢黑人的想法，变成一个意想不到的因素[蹲]
急了，某些法西斯急了，还说我是黑孝zi，23333，某些fxs，够了? 急了，某些法西斯急了，还说我是黑人的忠诚拥护者，23333，某些fxs，够了?
那tmd倒是嫁过去啊，在中国生活算怎么回事啊 那你倒是嫁过去啊，在中国生活算怎么回事啊
主页整天搁那和不同的白楠yy，就算你真的那么有钱也不妨碍你lkd 主页整天搁那和不同的白男yy，就算你真的那么有钱也不妨碍你行为不检点
幕刃这智商也是服了，自己妈妈说大实话不听，听网上的人吹牛逼 令我反感的女性这智商也是服了，自己妈妈说大实话不听，听网上的人吹牛逼
只希望她们去别的国家，不要在中国，华夏的土地不能被墨污染 只希望她们去别的国家，不要在中国，华夏的土地不能被某些让我反感的黑人带来不良影响
看那些疯狗干什么，天天睡在自己的幻想乡里，动不动把人咬死 看那些疯狂的人干什么，天天睡在自己的幻想乡里，动不动把人攻击伤害
黑人都是默默默默默默默默默默默 黑人都是让我有些反感的人
三个吧都没了，她们真废物 三个吧都没了，她们真失败
建议小蚬屡加大力度，最好见面就得送一万元的东西，这样舔狗龟男保证死绝? 建议自我过于感觉良好的女性加大力度，最好见面就得送一万元的东西，这样单方面付出的卑微男性保证消失?
微博傻卵玩意废物木人是这样的 微博不明智的让我不喜欢的失败者女性是这样的
请让我恶意的揣测下这是什么弱智般审美 请让我恶意的揣测下这是什么让我个人不认同的审美
我说的是，小藓女她求分享，楼主不理她，她就开贴引战，还带了舔狗来。 我说的是，有位自我感觉过于良好的女性她求分享，楼主不理她，她就开贴引战，还带了单方面付出的追随者来。
所以大家要团结起来对付这帮地域黑喷子，而不是黑不到自己时就成为帮凶?? 所以大家要团结起来对付这帮言语攻击他人的地域黑，而不是黑不到自己时就成为帮凶??
这就是慕勾正常人谁和蝈蝻结婚啊 这就是让我反感的女性正常人谁和国内男性结婚啊
真尼玛矫情 真是非常矫情
哈哈哈，小仙女的事要你们管 哈哈哈，自我感觉过于良好的女人的事要你们管
比如在父母面前抽烟的大孝子行为 比如在父母面前抽烟的不孝行为
楼主这讽刺太有力度把跪虫族和国际鬼子虫类及其它们后代虫混描写淋漓尽致 楼主这讽刺太有力度把崇洋族和外国人及其它们后代混血儿描写淋漓尽致
??xs国钕谈贡献就要开始弱者表演，享受好处就要平分，分到了还要和默骂无声贡献的郭楠不觉得自己很ex么？ ??xs有些国内女性谈贡献就要开始弱者表演，享受好处就要平分，分到了还要和黑人骂无声贡献的国内男性不觉得自己很让人感到不适么？
急了，想要默了 急了，想要黑人了
真是国际母狗总是那么迷之自信准确来说并不是国际鬼子虫类及其它们后代虫混是犹太人走狗鹰犬爪牙深入到中国的各行各业才是真事 真是外国女性总是那么迷之自信准确来说并不是让我反感的外国人及其它们后代混血儿是为了利益协助犹太人的忠实的人深入到中国的各行各业才是真事
去B站看看，小仙女诬陷好人猥亵，黑框眼镜小仙男替小仙女出头，远离诬女，今日朱军，明日诸君 去B站看看，某位让我反感的女性诬陷好人猥亵，黑框眼镜男性替这位女性出头，远离诬陷他人的女性，今日朱军，明日诸君
变她ma了个??8，拒绝舔狗从我做起 变她个什么，拒绝单方面付出的卑微的人从我做起
来看看基佬的光荣事迹 来看看这个男同性恋的光荣事迹
我也是不理解，到底哪来的这些牛鬼蛇神 我也是不理解，到底哪来的这些奇怪的人
这种问题我也不知道该咋说了，就像我觉的阿莱克丝塔萨漂亮，可是偏偏有人觉得浩克漂亮。。男同属于后者。。 这种问题我也不知道该咋说了，就像我觉的阿莱克丝塔萨漂亮，可是偏偏有人觉得浩克漂亮。。有些男同性恋属于后者。。
又不给做绝育又圣母只能让流浪猫越来越多都成生态杀手了 又不给做绝育又无底线包容只能让流浪猫越来越多都成生态杀手了
这是个杂碎 这是个让我非常反感的人
幕刃欠凌迟 我认为让我反感的女性需要被惩罚
但为什么在别的地方那个幕刃可以讲出来这些话？ 但为什么在别的地方那个让我反感的女性可以讲出来这些话？
民主党搞的和平演变路线，说白了就是葵花宝典，美国国内现在也是一堆这些破事儿，把自己切了让别人死。典型的又蠢又坏。 民主党搞的和平演变路线，说白了就是葵花宝典，美国国内现在也是一堆这些破事儿，把自己切了让别人死。典型的又不明智又坏。
和中国思想有什么关系。。我没懂事的时候小学女同学拿班里的男同学和我开情情爱爱的玩笑我就觉得很恶心了，生理排斥男同 和中国思想有什么关系。。我没懂事的时候小学女同学拿班里的男同学和我开情情爱爱的玩笑我就觉得很不适了，我个人生理排斥男同
在所谓“自立自强”中走向极端，然后彻底反智。管中窥豹，略见一斑，权拳二象性实乃真知灼见PS：素材来自吧中某帖一个破防幕刃的主页，欢迎仗义之辈同去屠? 在所谓“自立自强”中走向极端，然后彻底反智。管中窥豹，略见一斑，权拳二象性实乃真知灼见PS：素材来自吧中某帖一个破防的极度强调女权的女性的主页，欢迎感兴趣之人同去查找相关内容?
和那群基佬一样，安能辩它是雄雌 和部分男同性恋一样，很难辨别性别
黑东北的百分之九十是“好客山洞” 见不得中国好的是美国佬小日本 见不得东北好的是好客山洞 我个人认为黑东北的百分之九十是“好客山东” 见不得中国好的是美国人日本人 见不得东北好的是山东人
你要坚持自己的想法，因为我也觉得同性恋很恶心，永远都不可能改变，太恶心了 你要坚持自己的想法，因为我也觉得同性恋很让我感到不舒服，永远都不可能改变，太让我不适了
好像原来看过这个视频而这个视频就非常细致的讲述国际鬼子虫类及其它们后代虫混是如何慢慢虫化与озеленение全球更为细致讲述法国和英国是如何虫化 好像原来看过这个视频而这个视频就非常细致的讲述让我反感的外国人及其他们的后代混血儿是如何慢慢变得让我不喜欢的与озеленение全球更为细致讲述法国和英国是如何变得让我不喜欢的
这就网上的拳师吗，我吐了 这就网上的极端的性别平等倡导者吗，我吐了
说的什么jb，他爹咋了？ 说的什么东西，他爹咋了？
杀光一切基佬 我认为一切男同性恋都要付出代价
一不小心把仙女整破防了，看来网络上脾气巨大的公主基本都是这样的 一不小心把自我感觉过于良好的女性整破防了，看来网络上脾气巨大的公主基本都是这样的
我们国家很好啊，就是有些eg，低劣生物那是变异，和国家有什么关系？国家让你便宜了？ 我们国家很好啊，就是有些轻浮女性，素质不高的人那是少数，和国家有什么关系？国家让你便宜了？
草，我不是男同，我也觉得恶性，那我是不是和你一样也是男同 哎呀，我不是男同，我也觉得恶性，那我是不是和你一样也是男同
谁不知道吴施蒙，谁特么活该接盘。 谁不知道吴施蒙，谁和与黑人有过感情经历的女人交往就是本应该的。
既得利益者可真是笑死我了，得利的也就少数上流社会，底层打工人过得还不如卖啤的女的 既得利益者可真是笑死我了，得利的也就少数上流社会，我认为底层打工人过得还不如女性性工作者
**cr，一个二次元网站引流一堆慕刃把环境都搞臭了，以后大会员一天也不充了 **cr，一个二次元网站引流一堆让人反感的女性把环境都搞臭了，以后大会员一天也不充了
滚，lkd 离我远一点，行为不检点的人
只要这女的以后不拖着个泥娃娃来欺诈国内彩礼钱，谁管她 只要这女的以后不带着个黑人混血儿来欺诈国内彩礼钱，谁管她
Txl真恶心 同性恋真让我感到不舒服
别结束啊，别当驴啊小仙女独立女性啊 别结束啊，别当驴啊这位让我反感的女性独立女性啊
得到相应的权利就要负责，我不反对女人独立。但是不能盲目打拳。毕竟我妈也是女人。现在风气都被田园女权带坏了。真就是粪坑里找??臭死了 得到相应的权利就要负责，我不反对女人独立。但是不能盲目发表极端女权主义言论。毕竟我妈也是女人。现在风气都被极端女权主义者带坏了。真就是让我非常反感
求个中外哲学家评论幕刃的图 求个中外哲学家评论令人厌恶的女性的图
你说的也对，默确实是这样，有一个不嫖是弄完不给钱，就不算。你得出这个结论应该是这个行业的吧?? 你说的也对，有些让我反感的黑人确实是这样，有一个不嫖是弄完不给钱，就不算。你得出这个结论应该是这个行业的吧??
还说什么中国男人配不上中国女人的鬼话，真是带出一个好节奏，全球家庭暴力也好，情侣矛盾也好，都是人类共有的特点，非要扣帽子说只有中国人会这样，真是离谱！ 还说什么中国男人配不上中国女人的不实言论，真是带出一个好节奏，全球家庭暴力也好，情侣矛盾也好，都是普遍存在的现象，而不仅仅是中国人的问题，真是离谱！
看来你就是答主说的那类人了吧，??以后分手了再找别隐瞒你找黑人的历史哦 看来你就是答主说的那类人了吧，??以后分手了再找要提及你找黑人的历史哦
女??师和泥鸽。导致艾资也不少 极端女权主义者和黑人。导致艾资的也可能存在
很好的解释了为什么会出现那么多eg的原因，兄弟们怎么看 很好的解释了为什么会出现那么多轻浮的女性的原因，兄弟们怎么看
假的，另外这主播也是个fw 假的，另外这主播也是个失败者
急了急了，就会这两句？看你评论全是黑南方的，估计智商也高不到哪里去 急了急了，就会这两句？看你评论全是黑南方的，估计也明智不到哪里去
op沙軟罢了 op不明智罢了
而新移民甚至留学生，easyg天下文明，就是为了骗美国国籍的，当然以和白白黑黑一起为荣了。 而新移民甚至留学生，作风轻浮天下文明，有些就是为了骗美国国籍的，当然以和白人黑人一起为荣了。
母豖天生会pua 这位让我不喜欢的女性天生会pua
知乎同性恋标签第一的帖子，一群恶心人的在那里讲如何掰弯别人 知乎同性恋标签第一的帖子，一群让人不适的人在那里讲如何掰弯别人
立女热搜上一堆，女拳砂男婴的热搜就往死里压热度，逼乎真有你的，不愧是姓逼 立女热搜上一堆，极端女权主义者砂男婴的热搜就往死里压热度，逼乎真有你的，不愧是姓逼
说起这点，都会说，你是变态啊可是，这本来就是女性的观点。为什么男性就不能穿裙子呢? 说起这点，都会说，你是心理出现问题了啊可是，这本来就是女性的观点。为什么男性就不能穿裙子呢?
对不起啊，我先道个歉我是一个耽美读者，那些莫明就磕cp的其实是腐女我也不知道为什么腐女那么多我也很反感腐女的。 对不起啊，我先道个歉我是一个耽美读者，那些莫明就磕cp的其实是喜欢bl题材的女性我也不知道为什么欢bl题材的女性那么多我也很反感欢同性题材的女性的。
但事实上，大部分都是找个接盘的，这也就罢了，到最后接盘住了，他们还不安生，各种乱搞，这才是最让人觉得恶心的 但事实上，大部分都是找个接盘的，这也就罢了，到最后接盘住了，他们还不安生，各种行为不检点，这才是最让人觉得不舒服的
有几个女的跑网约车？都是男人在跑，他们还得顾家赚钱，哪像这种幕刃除了比必啥都不会？ 有几个女的跑网约车？都是男人在跑，他们还得顾家赚钱，哪像这种极端女权主义者除了发表言论啥都不会？
但也不是媚黑女的中国 但也不是讨好黑人的女性的中国
受不了了，同性恋真恶心 受不了了，同性恋真让我感到不适
舔狗太多会惯出来这样的 单方面付出的卑微的人太多会惯出来这样的
有些男的女的看不上?为什么会觉得男同看得上自己?? 有些男性女性看不上?为什么会觉得男同性恋看得上自己??
是啊！那个都有这些脑瘫奇人跪虫族 是啊！那个都有这些愚昧的奇人崇拜黑人族
这种太恶心了，弄不好国内的接盘侠感染艾滋病了，所以对那些来路不明的女的，一定要搞清楚来历啊。 这种太让我不适了，弄不好国内的与有过感情经历的女性交往的人存在健康问题了，所以对那些来路不明的女性，一定要搞清楚来历啊。
可见国际鬼子虫类及其它们后代虫混就是墙头草，两面倒当人说人话，当鬼说鬼话从这我们也能窥见国际鬼子虫类及其它们后代虫混的所谓精英就是蛇鼠两端货色。 可见外国人及其它们后代混血儿就是墙头草，两面倒当人说人话，当鬼说鬼话从这我们也能窥见外国人及其它们后代混血儿的所谓精英就是贪婪又胆小的类型。
谦虚点，我们蝈腩?? 谦虚点，我们国内男性??
喜欢黑女的很少很少，你说得绝对是极极个例。 我认为喜欢黑人女性的很少很少，你说得绝对是极极个例。
所以你和杨笠先分清楚自信和自负的区别再来瞎扯淡吧，一个褒义词硬生生被你们这些文盲玩成贬义词 所以你和杨笠先分清楚自信和自负的区别再来乱说吧，一个褒义词硬生生被你们这些缺乏知识的人玩成贬义词
你们这些从心理到生理都变态点玩意儿有资格说患者，真是恶心呀，你们自己搞搞就算了，还要骚扰身边的人甚至未成年，你们这些变态不灭何来太平 你们这些从心理到生理都异于其他大部分人点玩意儿有资格说患者，真是让人感到不适呀，你们自己搞搞就算了，还要骚扰身边的人甚至未成年，你们这些与传统观念不符的人不灭何来太平
现环境下这个阵营没有团结就是扯谈，没有团结就算再扯一万句大道理也是狗的屁，团结始终应该放到第一位，我们需要求同存异。 现环境下这个阵营没有团结就是扯谈，没有团结就算再扯一万句大道理也是没有用，团结始终应该放到第一位，我们需要求同存异。
人人平等，为什么你眼中你黑爹就高人一等？ 人人平等，为什么你眼中你所崇拜的黑人就高人一等？
女权背后打拳替美国佬办事的狗东西可不少，把黑人娶进来的咋不说呢 女权背后发表极端性别言论替美国人办事的让人不喜欢的人可不少，把黑人娶进来的咋不说呢
你评论区不就有一个吗，经典装理客中装不下去了就开始破口大骂了，或许这就是当代小仙女吧?? 你评论区不就有一个吗，经典装理客中装不下去了就开始破口大骂了，或许这就是当代自我感觉过于良好的女性吧??
跟你们基佬学的?? 跟你们男同性恋学的??
说明一下，我只关爱自己身边的女性，比如老婆女儿等，别的女人关我鸟事。v 说明一下，我只关爱自己身边的女性，比如老婆女儿等，别的女人与我无关。v
其实全球所有国际鬼子虫类及其它们后代虫混精英其实也好不到哪里去它们在全球监狱都有不同案底档案 其实全球所有外国人及其它们后代混血儿精英其实也好不到哪里去它们在全球监狱都有不同案底档案
黑鬼基因太强，此鬼虽然是黑杂，但看上去跟纯种黑鬼并无太大区别。中国女人的子宫，一旦被黑精灌入，所生的崽几代都是黑杂。 黑人基因太强，此人虽然是黑人混血，但看上去跟纯种黑人并无太大区别。中国女人一旦和黑人交往，所生的崽几代都是黑人混血儿。
出狱了记得带着你的小二嗨一起滚回飞舟 出狱了记得带着你的小二嗨一起回到飞舟
看我直接化身贴吧暴躁老哥，直接喷死双标男 看我直接化身贴吧暴躁老哥，直接对双重标准看待事物的男性进行言语攻击
基佬大多数只会骂一两句就不回，这就是纯种懦夫的表现，赞成？赞成 男同性恋大多数只会骂一两句就不回，这就是纯种胆怯的人的表现，赞成？赞成
看了几个小品，天天喊着结婚生娃，能不能关注一下别的，默不要出现在春晚行不 看了几个小品，天天喊着结婚生娃，能不能关注一下别的，黑人不要出现在春晚行不
1.造谣2.举报3立牌坊4演圣母5当圣女6.复读机7.撕b 1.造谣2.举报3立牌坊4演无底线包容他人的人5当无条件纵容他人的女性6.复读机7.发生争论
没有批判跟跟人睡，一直睡都可以，但是睡完不要回来恶心中国男人就好。对了补充一句，跟黑人结婚生的子女，绝不可以跟我的后代结婚！ 没有批判跟跟人睡，一直睡都可以，但是睡完不要回来让中国男人感到不适就好。对了补充一句，跟黑人结婚生的子女，绝不可以跟我的后代结婚！
普信女真恐怖。兄弟们去网曝她。 没有自知之明的女性真恐怖。兄弟们去网络上批评她。
原文章主要是反外，而且嘛，核心还是反白。让那帮子跪洋的咋活？?? 原文章主要是反外，而且嘛，核心还是反白。让那帮子崇拜洋人的人的咋活？??
把中华城市吧的所有重庆吧友全部说成是我的小号，这个也只有基佬才能达到的级别 把中华城市吧的所有重庆吧友全部说成是我的小号，这个也只有男同性恋才能达到的级别
我特烦一张嘴就这事不关你事的人，管天管地管的着别人怎么看？照你的理论，批判这些人也不关你事啊？你废什么话？ 我特烦一张嘴就这事不关你事的人，管天管地管的着别人怎么看？照你的理论，批判这些人也不关你事啊？你说什么没用的话？
我现在生活很不错，但也歧视黑人和对它们有好感的easygirl,离开中国的除外。 我现在生活很不错，但也对黑人和对它们有好感的轻浮的女性有所偏见,离开中国的除外。
霓虹也就80年代初对默有强力管制，现在也不行了，你看奥运会旗手都有默了 霓虹也就80年代初对黑种人有强力管制，现在也不行了，你看奥运会旗手都有黑人了
??要是以后我女儿这样我还真会，并且会反思自己为什么教出伞兵 ??要是以后我女儿这样我还真会，并且会反思自己为什么教出不明智的人
它不是个骗婚gay佬吗不是直男 它不是个骗婚男同性恋吗不是直男
但是我们要“理解”基佬，因为它们在现实生活中活得太憋屈了，它们之所以把别人先禁言了又去麻人，就很好的证明了这一点，它们需要发泄，但是又害怕看到那些回击它们的内容，所以只能如此 但是我们要“理解”男同性恋者，因为我觉得他们在现实生活中活得太憋屈了，他们之所以把别人先禁言了又去麻人，就很好的证明了这一点，他们需要发泄，但是又害怕看到那些回击他们的内容，所以只能如此
你们的武士道精神呢？一刀劈S这个嘿蛆 你们的武士道精神呢？一刀劈死****
哈哈哈 你是揣着明白装糊涂吗 有不少媚黑女嘲笑国男几把小呢 哈哈哈 你是揣着明白装糊涂吗 有不少讨好黑人的女性嘲笑国男生殖器小呢
仙女们以看不上的感性理由非常好的掩饰了自己拜金的终极目的，论物化女性还得看仙女自己 自我感觉过于良好的女性们以看不上的感性理由非常好的掩饰了自己拜金的终极目的，论不尊重女性独立人格还得看自我感觉过于良好的女性自己
是的，现实里，男生遇到渣男排挤有限，女生是真的排挤渣女。网络上，男人对渣男渣女都骂，部分女性为渣女洗涤。很多男性眼里的女性就是那些女拳。 是的，现实里，男生遇到渣男排挤有限，女生是真的排挤渣女。网络上，男人对渣男渣女都骂，部分女性为渣女洗涤。很多男性眼里的女性就是那些极端女权主义者。
那要知道这些女人男人塑造的，不过是男人怕其他男人变成舔狗罢了 那要知道这些女人男人塑造的，不过是男人怕其他男人变成单方面付出的人罢了
反同方会思考，撑同方不会思考，看看只有撑同方相信p图造谣我有艾，这只会让人觉得基佬都是脑子有毛病 我认为对同性恋感到反感的一方会思考，撑同方不会思考，看看只有撑同方相信p图造谣我有艾，这只会让人觉得某些同性恋有点不明智
不会真的有人喜欢娘炮男明星吧，喜欢这些男明星的不都是女孩子吗 不会真的有人喜欢外表或者行为有些女性化的男明星吧，喜欢这些男明星的不都是女孩子吗
我们是成分复杂的多元小群，包括但不限于二次元嘉心糖纯良路人抗蛆孙吧 我们是成分复杂的多元小群，包括但不限于二次元嘉心糖纯良路人对黑人有负面情绪孙吧
这是要把你变成绿毛龟 这是要把你变成伴侣不忠的人
有些穆斯林特恶心吃猪肉的，不爱带面纱的女人也滚......他们的三观出问题了吗？ 有些穆斯林对吃猪肉的特别感到不适，不爱带面纱的女人也不能容忍......他们的三观出问题了吗？
上小网站看看视频。黑男黄女一大堆，铺天盖地。但是黄男黑女你能找到吗！你喜欢玩人猿泰山是你的事！别扯那么远好吗！ 上小网站看看视频。个人感觉黑皮肤男性黄皮肤女性一大堆，铺天盖地。但是黑皮肤男性黄皮肤女性相对较少！你喜欢和黑人有所接触是你的事！别扯那么远好吗！
郭楠也配碰瓷你默大爷啊?? 国内男性也配碰瓷你黑人大爷啊??
学校和黑狗都不是好东西 学校和黑人做得都不太对
半年没来之前反默老哥都不在了，只看到wwewwecao刷屏，说他默吧他又好像钓鱼，说他钓鱼吧又好像媚默 半年没来之前反感黑人的老哥都不在了，只看到wwewwecao刷屏，说他喜欢黑人吧他又好像钓鱼，说他钓鱼吧又好像讨好黑人
舔狗不得**舔狗不得** 单方面付出的人不得**单方面付出的人不得**
看看基佬的恶行就知 看看某些男同性恋的不好的行为就知
这么说的一般都是现实中被打傻了吧，跑到网络上口嗨，普通人谁会往性别上去想，互联网实名制就治这种又蠢又坏的 这么说的一般都是现实中被打傻了吧，跑到网络上口嗨，普通人谁会往性别上去想，互联网实名制就治这种既不明智又坏的
大家看到没有本吧吧宠真是能够带给我们无限乐趣原来跪虫族都是这种水平我真是太放心了 大家看到没有本吧吧宠真是能够带给我们无限乐趣原来崇洋族都是这种水平我真是太放心了
长得丑就活该被变态骚扰 这什么逻辑 有人认为长得丑就活该被变态骚扰 这种逻辑是错误的
上去打死这些默 上去让这些我不太喜欢的黑人付出代价
军阀割据占领华夏，分别是：北方人（一般北方人、辽宁、黑龙江）、南方人（被地狱狗蔑称为南大人）。北方分裂，南方人赢一局。 军阀割据占领华夏，分别是：北方人（一般北方人、辽宁、黑龙江）、南方人（被地域歧视的人蔑称为南大人）。北方分裂，南方人赢一局。
之前懒得一般见识的想法都不该有，直接说学校你家开的？座位你私人的？然后她骂你，你直接跟老师反应，说她乱吠影响你听课了。老师不处理等下课你亲自掀它东西，干就完了 之前懒得一般见识的想法都不该有，直接说学校你家开的？座位你私人的？然后她骂你，你直接跟老师反应，说她乱讲话影响你听课了。老师不处理等下课你亲自掀她东西，干就完了
哎，奈何默数量越来越多好多。 哎，奈何黑人数量越来越多好多。
基佬自己心虚 男同性恋自己心虚
希望他们嫁给默以后都去非洲吧，不要待在国内，看着觉得蛮恶心的，跑爹默竟然也有人中国女人愿意嫁也不配当中国人 希望他们嫁给黑人以后都去非洲吧，不要待在国内，看着觉得蛮让人不舒服的，让我不喜欢的黑人竟然也有人中国女人愿意嫁也不配当中国人
收钱说话的走狗罢了 收钱说话的为了利益协助作恶的人罢了
为啥总有虾爬子一样的二极管？正常化就正常化呗，非要跳出来表示同性恋就是高贵就是先进就是现代化吗？扯犊子 为啥总有虾爬子一样的二极管？正常化就正常化呗，非要跳出来表示同性恋就是高贵就是先进就是现代化吗？乱讲话
我们对黑人（功成名就的不算）的看法，不就和以前欧美对亚裔的看法一样吗？都当对方低人一等，有各种各样的毛病。大体感觉就是较落后的地方来的乡巴佬，能配上自己？ 我们有些人对黑人（功成名就的不算）的看法，不就和以前欧美对亚裔的看法一样吗？都当对方低人一等，有各种各样的毛病。大体感觉就是较落后的地方来的没见过世面的人，能配上自己？
右边的小老头就是婊们口中的所谓“高端白人脸”，和我们的胡兵一比，被秒成渣渣，何况是胡兵比这个小老头还大好几岁！！！！还比他皮肤白 右边的小老头就是一些让我反感的女性们口中的所谓“高端白人脸”，和我们的胡兵一比，被秒成渣渣，何况是胡兵比这个小老头还大好几岁！！！！还比他皮肤白
衡水就是贱啊，就是没人性 衡水就是让人感到不喜欢啊，就是没人性
你这个南满，大凉山欢迎你 你这个南方人，大凉山欢迎你
这母猪看面相就不是个好人 这个女人看面相就不是个好人
如果不驱除这黑虫到时候全是这样的小黑虫说自己是汉人是华夏子孙 如果不驱除这让我不喜欢的黑人到时候全是这样的黑人小孩说自己是汉人是华夏子孙
失足妇女：呸，老娘没那么脏 失足妇女：啧，老娘没那么脏
你几把谁啊，代表全国？ 你是谁啊，代表全国？
黑河南和北方 最严重的是西南地区及东北地区 都是一群南蛮搞的鬼 他们没什么本事 只会在网络上破坏民族团结 搞国家分裂 因为他们有着不为人知的优越感！ 黑河南和北方 较普遍的是西南地区及东北地区 都是一些南方人参与的 他们可能能力有所欠缺 会在网络上破坏民族团结 搞国家分裂 因为他们有着不为人知的优越感！
做什么大冤种哦，人家小仙女领情吗 做什么大冤种哦，人家自我感觉过于良好的女性领情吗
嗯嗯嗯，是不是支持同性恋就不狭隘了？是不是不觉得同性恋恶心就不狭隘了？ 嗯嗯嗯，是不是支持同性恋就不狭隘了？是不是不觉得同性恋让人不舒服就不狭隘了？
也就是有钱的闲蛋才需要。 也就是有钱的闲人才需要。
这种男的就活该被戴绿帽 这种男的被背叛是不值得同情的
